,Workload_Name,Frequency,Voltage,Core_Count,Actual,EPH_0x11:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x1b:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x50:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x14:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x19:Frequency_A15:Voltage_A15_Squared_Percentage
725,jpeg_enc,800,0.903741379,1,0.428544903,21.87981967,14.27524917,0.795553888,17.50003702,0.530293903
726,jpeg_dec,800,0.915815603,1,0.225234277,7.383515049,2.772605169,0.552661545,4.656039328,0.220070363
727,typeset,800,0.906005068,1,0.424162568,23.52894288,9.553024269,1.980616949,16.54432763,0.57736113
728,dijkstra,800,0.913639456,1,0.395275565,26.68661821,10.9126179,0.917409685,8.63718906,0.035329042
729,patricia,800,0.905162671,1,0.367942815,21.47935727,8.902864467,1.70852588,16.96028826,0.262023407
730,ispell,800,0.911738014,1,0.428112267,21.9926803,10.49791439,1.181023486,20.11950909,0.07891392
731,stringsearch,800,0.916071429,1,0.198127786,3.812708225,1.087084651,0.268131564,2.547119983,0.092659163
732,adpcm_c,800,0.907534483,1,0.3250886,18.53653119,8.641148636,1.206764013,15.58593151,0.479956374
733,adpcm_d,800,0.910744863,1,0.273550171,14.07166731,5.014258821,1.051411053,10.46389147,0.580079299
734,fft,800,0.905493197,1,0.380149497,21.26327679,9.690402163,0.276144336,19.68455036,0.099419301
735,h264_hq,800,0.915719178,1,0.317735226,14.66402565,7.174668787,1.158998524,13.41667163,1.143212834
736,h264_lq,800,0.915659247,1,0.299277836,13.49761134,6.497368376,1.157615967,11.73249063,1.188871608
737,mpeg4_hq,800,0.916139456,1,0.226071959,6.123048528,2.554725966,0.980030006,4.989529548,0.489680841
738,mpeg4_lq,800,0.916156463,1,0.220592639,5.733934483,2.396564354,0.889882197,4.6223332,0.504771396
739,jpg2000enc,800,0.91202381,1,0.376113789,27.03808482,6.550755568,5.110616596,7.453815878,1.326331839
740,dhrystone,800,0.900188356,1,0.438112342,24.00872779,13.81100938,0.070426886,18.11026981,0.011457974
741,neon_add,800,0.900231164,1,0.483431041,25.41220684,11.29936077,0.067879876,16.59465722,0.008614846
742,neon_mul,800,0.900445205,1,0.485277068,25.44566772,11.23725061,0.068166375,16.50648547,0.008628144
743,cstm_bmp,800,0.915236486,1,0.375628115,28.3394149,5.86003977,0.101332387,10.60739372,0.017106441
744,cstm_int,800,0.902457192,1,0.460557678,21.43805384,13.06784414,1.35111832,23.56500307,0.503627431
745,cstm_fp,800,0.902525338,1,0.480842953,21.01292242,13.98880899,0.740114294,24.5572822,0.57769972
746,lat_ctx_0_18,800,0.913018707,1,0.364031109,31.24339887,5.937200741,0.96012886,8.086901349,0.109917794
747,lat_ctx_500_18,800,0.911216216,1,0.374227628,29.76760691,6.341886033,2.103629078,6.812212094,2.677466336
748,lat_fs,800,0.907457483,1,0.376133776,27.32474775,6.120873189,1.239612329,14.64999853,0.331591148
749,lat_pagefault,800,0.902278912,1,0.761072891,39.2168847,8.556894574,3.322902738,23.92334183,0.063455618
750,lat_mem_rd_1_8,800,0.915119048,1,0.326562878,31.23809231,3.361931119,1.10788922,3.489008868,0.016086606
751,lat_mem_rd_1_256,800,0.915289116,1,0.329206422,30.96955616,2.576135797,3.42592324,2.763154701,0.015576041
752,lat_mem_rd_200_8,800,0.915388514,1,0.327921216,31.18797683,3.410768185,1.260080919,3.682988032,0.023425902
753,lat_mem_rd_200_256,800,0.915282534,1,0.328925082,31.0509396,2.847825261,2.928793094,3.123015499,0.021302001
754,lat_mem_rd_p4,800,0.90347973,1,0.631008628,56.08333258,6.856892311,0.09268105,6.60268294,0.008689991
755,lat_ops,800,0.910515203,1,0.362499514,27.76707252,8.818712078,0.171467495,11.28632624,0.027284928
756,lat_proc_fork,800,0.914370748,1,0.340317959,30.75655568,5.700937304,0.583098177,5.490012511,0.154538306
757,bw_mem_rd,800,0.903945578,1,0.413852844,23.93665906,5.063436586,5.483276995,8.24103712,13.09894683
758,bw_mem_wr,800,0.903887931,1,0.382629303,24.68174765,3.27640222,3.200287308,5.670588375,17.57162636
759,bw_mem_cp_200m,800,0.901672414,1,0.416143324,23.82575917,3.511493649,5.08046613,6.959706795,17.72645261
760,bw_mem_cp_700m,800,0.90112931,1,0.425572641,24.12587838,4.424028234,4.359036777,9.79410699,15.72327437
761,bw_mem_cp_2000m,800,0.914636824,1,0.334469547,31.31830497,5.691344579,0.175593483,3.275538498,0.065842645
762,tlb,800,0.915068027,1,0.315777184,31.64385395,3.794310245,0.118837404,3.022927761,0.036141939
763,line,800,0.911386054,1,0.340568966,29.36066022,4.98869483,0.967803344,4.630314961,3.516178559
764,cache,800,0.915008503,1,0.317425041,30.93745173,0.965704554,3.451797875,1.414368196,3.357854956
765,par_mem,800,0.90572774,1,0.417647945,26.69019689,1.791904697,8.149361719,2.230587407,10.39912067
766,gcc,800,0.902799658,1,0.410270788,23.8065079,8.522402516,2.182974876,19.2686133,1.443009744
767,tar,800,0.904991379,1,0.4404652,20.83604063,11.51971712,2.171407713,20.69871668,0.264082018
